左边为始发站，右边是终点站,Kennedy Town,HKU,Sai Ying Pun, Sheung Wan,Central,Admiralty,Wan Chai, Causeway Bay,Tin Hau, Fortress Hill, North Point,Quarry Bay,Tai Koo,Sai Wan Ho,Shau Kei Wan,Heng Fa Chuen,Chai Wan,Admiralty,Ocean Park,Wong Chuk Hang,Lei Tung,South Horizons, Centra,Admiralty,Tsim Sha Tsui,Jordan,Yau Ma Tei,Mong Kok,Prince Edward,Sham Shui Po,Cheung Sha Wan,Lai Chi Kok,Mei Foo,Lai King,Kwai Fong,Kwai Hing,Tai Wo Hau,Tsuen Wan,Whampoa,Ho Man Tin,Yau Ma Tei,Mong Kok,Prince Edward,Shek Kip Mei,Kowloon Tong,Lok Fu,Wong Tai Sin,Diamond Hill,Choi Hung,Kowloon Bay,Ngau Tau Kok,Kwun Tong,Lam Tin,Yau Tong,Tiu Keng Leng,North Point,Quarry Bay,Yau Tong,Tiu Keng Leng,Tseung Kwan O,Hang Hau,Po Lam,LOHAS Park,Hong Kong,Kowloon,Olympic,Nam Cheong,Lai King,Tsing Yi,Sunny Bay,Tung Chung,Disneyland Resort,Sunny Bay,Hung Hom,Mong Kok East,Kowloon Tong,Tai Wai,Sha Tin,Fo Tan,Racecourse,University,Tai Po Market,Tai Wo,Fanling,Sheung Shui,Lo Wu,Lok Ma Chau,Tuen Mun,Siu Hong,Tin Shui Wai,Long Ping,Yuen Long,Kam Sheung Road,Tsuen Wan West,Mei Foo,Nam Cheong,Austin,East Tsim Sha Tsui,Hung Hom,Kai Tak,Diamond Hill,Hin Keng,Tai Wai,Che Kung Temple,Sha Tin Wai,City One,Shek Mun,Tai Shui Hang,Heng On,Ma On Shan,Wu Kai Sha,,
Kennedy Town,,4.8,4.8,5.7,5.7,5.7,7.1,7.1,7.1,8.8,8.8,8.8,8.8,8.8,10.7,10.7,10.7,5.7,8.8,8.8,8.8,8.8,5.7,5.7,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,8.8,8.8,15.2,15.2,15.2,15.2,15.2,15.2,5.7,12.7,12.7,15.2,15.2,15.2,23.6,27,27,23.6,14.3,15.2,15.2,18.8,18.8,19.2,27,20.2,22.3,22.3,23.8,23.8,52.7,52.7,29.2,29.2,29.2,29.2,29.2,28.3,18,15.2,15.2,12.7,12.7,14.3,15.2,15.2,18.8,18.8,19.6,19.6,19.6,19.6,22.2,22.2,22.2,22.2,,
HKU,4.8,,4.8,4.8,5.7,5.7,5.7,7.1,7.1,7.1,8.8,8.8,8.8,8.8,8.8,10.7,10.7,5.7,7.1,8.8,8.8,8.8,5.7,5.7,12.7,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,12.7,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,8.8,8.8,15.2,15.2,15.2,15.2,15.2,15.2,5.7,12.7,12.7,12.7,15.2,15.2,21.5,23.6,27,21.5,14.3,15.2,15.2,18.8,18.8,19.2,27,20.2,22.3,22.3,23.8,23.8,52.7,52.7,28.3,28.3,28.3,28.3,28.3,27.1,17.2,15.2,12.7,12.7,12.7,14.3,15.2,15.2,18.8,18.8,19.6,19.6,19.6,19.6,22.2,22.2,22.2,22.2,,
Sai Ying Pun,4.8,4.8,,4.8,4.8,5.7,5.7,5.7,7.1,7.1,7.1,8.8,8.8,8.8,8.8,8.8,10.7,5.7,7.1,7.1,8.8,8.8,4.8,5.7,12.7,12.7,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,12.7,12.7,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,7.1,8.8,15.2,15.2,15.2,15.2,15.2,15.2,4.8,12.7,12.7,12.7,15.2,15.2,21.5,23.6,27,21.5,12.7,12.7,12.7,16.5,16.5,17,24.8,17.8,19.2,19.2,21.5,21.5,50.5,50.5,28.3,,28.3,28.3,28.3,27.1,17.2,15.2,12.7,12.7,12.7,12.7,12.7,15.2,16.5,16.5,16.6,16.6,16.6,16.6,20.1,20.1,20.1,20.1,,
 Sheung Wan,5.7,4.8,4.8,,4.8,4.8,5.7,5.7,5.7,7.1,7.1,7.1,8.8,8.8,8.8,8.8,8.8,4.8,7.1,7.1,7.1,8.8,4.8,4.8,10.3,10.3,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,12.7,12.7,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,7.1,7.1,15.2,15.2,15.2,15.2,15.2,15.2,4.8,10.3,12.7,12.7,15.2,15.2,21.5,23.6,27,21.5,12.1,12.4,12.7,16.5,16.5,17,24.8,17.8,19.2,19.2,21.5,21.5,50.5,50.5,28.3,28.3,28.3,28.3,28.3,27.1,17.2,15.2,12.7,10.3,10.3,12.1,12.7,15.2,16.5,16.5,16.6,16.6,16.6,16.6,20.1,20.1,20.1,20.1,,
Central,5.7,5.7,4.8,4.8,,4.8,4.8,5.7,5.7,5.7,7.1,7.1,7.1,8.8,8.8,8.8,8.8,4.8,5.7,7.1,7.1,7.1,,4.8,10.3,10.3,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,12.7,12.7,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,7.1,7.1,15.2,15.2,15.2,15.2,15.2,15.2,,10.3,12.7,12.7,15.2,15.2,21.5,23.6,27,21.5,12.1,12.4,12.7,16.5,16.5,17,24.8,17.8,19.2,19.2,21.5,21.5,50.5,50.5,28.3,28.3,28.3,28.3,28.3,27.1,17.2,15.2,12.7,10.3,10.3,12.1,12.7,15.2,16.5,16.5,16.6,16.6,16.6,16.6,20.1,20.1,20.1,20.1,,
Admiralty,5.7,5.7,5.7,4.8,4.8,4.8,4.8,5.7,5.7,7.1,7.1,7.1,8.8,8.8,8.8,8.8,,5.7,7.1,7.1,7.1,4.8,10.3,,10.3,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,12.7,12.7,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,7.1,7.1,15.2,15.2,15.2,15.2,15.2,15.2,4.8,10.3,12.7,12.7,15.2,15.2,21.5,23.6,27,21.5,12.1,12.4,12.7,16.5,16.5,17,24.8,17.8,19.2,19.2,21.5,21.5,50.5,50.5,28.3,28.3,28.3,28.3,28.3,27.1,17.2,15.2,12.7,10.3,10.3,12.1,12.7,15.2,16.5,16.5,16.6,16.6,16.6,16.6,20.1,20.1,20.1,20.1,,,
Wan Chai,7.1,5.7,5.7,5.7,4.8,4.8,,4.8,4.8,5.7,5.7,7.1,7.1,8.8,8.8,8.8,8.8,4.8,5.7,7.1,7.1,7.1,4.8,4.8,10.3,10.3,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,12.7,12.7,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,12.7,12.7,12.7,12.7,15.2,5.7,7.1,12.7,15.2,15.2,15.2,15.2,15.2,4.8,10.3,12.7,12.7,15.2,15.2,21.5,23.6,27,21.5,12.1,12.4,12.7,16.5,16.5,17,24.8,17.8,19.2,19.2,21.5,21.5,50.5,50.5,28.3,28.3,28.3,28.3,28.3,27.1,17.2,15.2,12.7,10.3,10.3,12.1,12.7,15.2,16.5,16.5,16.6,16.6,16.6,16.6,20.1,20.1,20.1,20.1,,
 Causeway Bay,7.1,7.1,5.7,5.7,5.7,4.8,4.8,,4.8,,,4.8,5.7,5.7,7.1,7.1,8.8,8.8,8.8,4.8,5.7,7.1,7.1,7.1,5.7,4.8,12.7,12.7,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,12.7,12.7,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,12.7,12.7,12.7,12.7,12.7,12.7,5.7,5.7,12.7,12.7,15.2,15.2,15.2,15.2,5.7,12.7,12.7,12.7,15.2,15.2,21.5,23.6,27,21.5,12.7,12.7,12.7,16.5,16.5,17,24.8,17.8,19.2,19.2,21.5,21.5,50.5,50.5,28.3,28.3,28.3,28.3,28.3,27.1,17.2,15.2,12.7,12.7,12.7,12.7,12.7,15.2,16.5,16.5,16.6,16.6,16.6,16.6,20.1,20.1,20.1,20.1
Tin Hau,7.1,7.1,7.1,5.7,5.7,5.7,4.8,4.8,,4.8,4.8,5.7,5.7,7.1,7.1,8.8,8.8,5.7,7.1,7.1,7.1,8.8,5.7,5.7,12.7,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,12.7,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,12.7,12.7,12.7,12.7,12.7,12.7,12.7,4.8,5.7,12.7,12.7,12.7,15.2,15.2,15.2,5.7,12.7,12.7,12.7,15.2,15.2,21.5,23.6,27,21.5,14.3,15.2,15.2,18.8,18.8,19.2,27,20.2,22.3,22.3,23.8,23.8,52.7,52.7,28.3,28.3,28.3,28.3,28.3,27.1,17.2,15.2,12.7,12.7,12.7,14.3,12.7,15.2,18.8,18.8,19.6,19.6,19.6,19.6,22.2,22.2,22.2,22.2,,
 Fortress Hill,8.8,7.1,7.1,7.1,5.7,5.7,5.7,4.8,4.8,,4.8,4.8,5.7,5.7,7.1,7.1,7.1,5.7,7.1,7.1,8.8,8.8,5.7,5.7,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,12.7,12.7,12.7,10.3,10.3,10.3,10.3,12.7,4.8,4.8,10.3,12.7,12.7,12.7,15.2,15.2,5.7,12.7,12.7,15.2,15.2,15.2,23.6,27,27,23.6,14.3,15.2,15.2,18.8,18.8,19.2,27,20.2,22.3,22.3,23.8,23.8,52.7,52.7,29.2,29.2,29.2,29.2,29.2,28.3,18,15.2,15.2,12.7,12.7,14.3,12.7,12.7,18.8,18.8,19.6,19.6,19.6,19.6,22.2,22.2,22.2,22.2,,
 North Point,8.8,8.8,7.1,7.1,7.1,7.1,5.7,5.7,4.8,4.8,,4.8,4.8,5.7,5.7,7.1,7.1,7.1,7.1,8.8,8.8,8.8,7.1,7.1,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,12.7,12.7,12.7,15.2,15.2,15.2,15.2,12.7,12.7,12.7,12.7,10.3,10.3,10.3,10.3,12.7,,4.8,10.3,12.7,12.7,12.7,12.7,12.7,7.1,12.7,12.7,15.2,15.2,15.2,23.6,27,27,23.6,14.3,15.5,15.2,18.8,18.8,19.2,27,20.2,22.3,22.3,23.8,23.8,52.7,52.7,29.2,29.2,29.2,29.2,29.2,28.3,18,15.2,15.2,12.7,12.7,14.3,12.7,12.7,18.8,18.8,19.6,19.6,19.6,19.6,22.2,22.2,22.2,22.2,,
Quarry Bay,8.8,8.8,8.8,7.1,7.1,7.1,7.1,5.7,5.7,4.8,4.8,,4.8,4.8,5.7,5.7,7.1,7.1,8.8,8.8,8.8,8.8,7.1,7.1,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,12.7,15.2,15.2,15.2,15.2,15.2,12.7,12.7,12.7,12.7,10.3,10.3,10.3,10.3,12.7,4.8,,10.3,12.7,12.7,12.7,12.7,12.7,7.1,12.7,15.2,15.2,15.2,15.2,23.6,27,27,23.6,14.3,15.5,15.2,18.8,18.8,19.2,27,20.2,22.3,22.3,23.8,23.8,52.7,52.7,29.2,29.2,29.2,29.2,29.2,28.3,18,15.2,15.2,12.7,12.7,14.3,12.7,12.7,18.8,18.8,19.6,19.6,19.6,19.6,22.2,22.2,22.2,22.2,,
Tai Koo,8.8,8.8,8.8,8.8,7.1,7.1,7.1,7.1,5.7,5.7,4.8,4.8,,4.8,4.8,5.7,5.7,7.1,8.8,8.8,8.8,8.8,7.1,7.1,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,12.7,12.7,12.7,12.7,10.3,10.3,10.3,10.3,12.7,4.8,4.8,10.3,12.7,12.7,12.7,12.7,12.7,7.1,15.2,15.2,15.2,15.2,15.2,23.6,27,27,23.6,16.4,16.4,15.2,18.8,18.8,19.2,27,20.2,22.3,22.3,23.8,23.8,52.7,52.7,29.2,29.2,29.2,29.2,29.2,28.3,18,15.2,15.2,15.2,15.2,16.4,12.7,12.7,18.8,18.8,19.6,19.6,19.6,19.6,22.2,22.2,22.2,22.2,,
Sai Wan Ho,8.8,8.8,8.8,8.8,8.8,8.8,8.8,7.1,7.1,5.7,5.7,4.8,4.8,,4.8,4.8,4.8,8.8,8.8,8.8,8.8,10.7,8.8,8.8,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,12.7,12.7,12.7,10.3,10.3,10.3,10.3,12.7,5.7,4.8,10.3,12.7,12.7,12.7,15.2,15.2,8.8,15.2,15.2,15.2,15.2,15.2,23.6,27,27,23.6,16.4,16.4,15.2,18.8,18.8,19.2,27,20.2,22.3,22.3,23.8,23.8,52.7,52.7,29.2,29.2,29.2,29.2,29.2,28.3,18,15.2,15.2,15.2,15.2,16.4,15.2,12.7,18.8,18.8,19.6,19.6,19.6,19.6,22.2,22.2,22.2,22.2,,
Shau Kei Wan,10.7,8.8,8.8,8.8,8.8,8.8,8.8,8.8,7.1,7.1,5.7,5.7,4.8,4.8,,4.8,4.8,8.8,8.8,8.8,10.7,10.7,8.8,8.8,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,12.7,12.7,12.7,12.7,12.7,12.7,12.7,5.7,5.7,12.7,12.7,12.7,15.2,15.2,15.2,8.8,15.2,15.2,15.2,15.2,15.2,23.6,27,27,23.6,16.4,16.4,15.2,18.8,18.8,19.2,27,20.2,22.3,22.3,23.8,23.8,52.7,52.7,29.2,29.2,29.2,29.2,29.2,28.3,18,15.2,15.2,15.2,15.2,16.4,15.2,15.2,18.8,18.8,19.6,19.6,19.6,19.6,22.2,22.2,22.2,22.2,,
Heng Fa Chuen,10.7,10.7,8.8,8.8,8.8,8.8,8.8,8.8,8.8,7.1,7.1,5.7,5.7,4.8,4.8,,4.8,8.8,8.8,10.7,10.7,10.7,8.8,8.8,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,12.7,12.7,12.7,12.7,12.7,12.7,7.1,5.7,12.7,12.7,15.2,15.2,15.2,15.2,8.8,15.2,15.2,15.2,15.2,15.2,23.6,27,27,23.6,16.4,16.4,15.2,18.8,18.8,19.2,27,20.2,22.3,22.3,23.8,23.8,52.7,52.7,29.2,29.2,29.2,29.2,29.2,28.3,18,15.2,15.2,15.2,15.2,16.4,15.2,15.2,18.8,18.8,19.6,19.6,19.6,19.6,22.2,22.2,22.2,22.2,,
Chai Wan,10.7,10.7,10.7,8.8,8.8,8.8,8.8,8.8,8.8,7.1,7.1,7.1,5.7,4.8,4.8,4.8,,8.8,10.7,10.7,10.7,10.7,8.8,8.8,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,12.7,12.7,12.7,12.7,15.2,7.1,7.1,12.7,15.2,15.2,15.2,15.2,15.2,8.8,15.2,15.2,15.2,15.2,15.2,23.6,27,27,23.6,16.4,16.4,15.2,18.8,18.8,19.2,27,20.2,22.3,22.3,23.8,23.8,52.7,52.7,29.2,29.2,29.2,29.2,29.2,28.3,18,15.2,15.2,15.2,15.2,16.4,15.2,15.2,18.8,18.8,19.6,19.6,19.6,19.6,22.2,22.2,22.2,22.2,,
Admiralty,5.7,5.7,5.7,4.8,4.8,,4.8,4.8,5.7,5.7,7.1,7.1,7.1,8.8,8.8,8.8,8.8,,5.7,7.1,7.1,7.1,4.8,,10.3,10.3,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,12.7,12.7,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,7.1,7.1,15.2,15.2,15.2,15.2,15.2,15.2,4.8,10.3,12.7,12.7,15.2,15.2,21.5,23.6,27,21.5,12.1,12.4,12.7,16.5,16.5,17,24.8,17.8,19.2,19.2,21.5,21.5,50.5,50.5,28.3,28.3,28.3,28.3,28.3,27.1,17.2,15.2,12.7,10.3,10.3,12.1,12.7,15.2,16.5,16.5,16.6,16.6,16.6,16.6,20.1,20.1,20.1,20.1,,
Ocean Park,8.8,7.1,7.1,7.1,5.7,5.7,5.7,5.7,7.1,7.1,7.1,8.8,8.8,8.8,8.8,8.8,10.7,5.7,,4.8,4.8,5.7,5.7,5.7,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,7.1,8.8,15.2,15.2,15.2,15.2,15.2,15.2,5.7,12.7,12.7,15.2,15.2,15.2,23.6,27,27,23.6,14.3,15.2,15.2,18.8,18.8,19.2,27,20.2,22.3,22.3,23.8,23.8,52.7,52.7,29.2,29.2,29.2,29.2,29.2,28.3,18,15.2,15.2,12.7,12.7,14.3,15.2,15.2,18.8,18.8,19.6,19.6,19.6,19.6,22.2,22.2,22.2,22.2,,
Wong Chuk Hang,8.8,8.8,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,8.8,8.8,8.8,8.8,8.8,10.7,10.7,7.1,4.8,,4.8,4.8,7.1,7.1,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,8.8,8.8,15.2,15.2,15.2,15.2,15.2,15.2,7.1,12.7,12.7,15.2,15.2,15.2,23.6,27,27,23.6,14.3,15.5,15.2,18.8,18.8,19.2,27,20.2,22.3,22.3,23.8,23.8,52.7,52.7,29.2,29.2,29.2,29.2,29.2,28.3,18,15.2,15.2,12.7,12.7,14.3,15.2,15.2,18.8,18.8,19.6,19.6,19.6,19.6,22.2,22.2,22.2,22.2,,
Lei Tung,8.8,8.8,8.8,7.1,7.1,7.1,7.1,7.1,7.1,8.8,8.8,8.8,8.8,8.8,10.7,10.7,10.7,7.1,4.8,4.8,,4.8,7.1,7.1,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,8.8,8.8,15.2,15.2,15.2,15.2,15.2,15.2,7.1,12.7,15.2,15.2,15.2,15.2,23.6,27,27,23.6,14.3,15.5,15.2,18.8,18.8,19.2,27,20.2,22.3,22.3,23.8,23.8,52.7,52.7,29.2,29.2,29.2,29.2,29.2,28.3,18,15.2,15.2,12.7,12.7,14.3,15.2,15.2,18.8,18.8,19.6,19.6,19.6,19.6,22.2,22.2,22.2,22.2,,
South Horizons,8.8,8.8,8.8,8.8,7.1,7.1,7.1,7.1,8.8,8.8,8.8,8.8,8.8,10.7,10.7,10.7,10.7,7.1,5.7,4.8,4.8,,7.1,7.1,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,8.8,8.8,15.2,15.2,15.2,15.2,15.2,15.2,7.1,15.2,15.2,15.2,15.2,15.2,23.6,27,27,23.6,16.4,16.4,15.2,18.8,18.8,19.2,27,20.2,22.3,22.3,23.8,23.8,52.7,52.7,29.2,29.2,29.2,29.2,29.2,28.3,18,15.2,15.2,15.2,15.2,16.4,15.2,15.2,18.8,18.8,19.6,19.6,19.6,19.6,22.2,22.2,22.2,22.2,,
 Centra,5.7,5.7,4.8,4.8,,4.8,4.8,5.7,5.7,5.7,7.1,7.1,7.1,8.8,8.8,8.8,8.8,4.8,5.7,7.1,7.1,7.1,,4.8,10.3,10.3,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,12.7,12.7,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,7.1,7.1,15.2,15.2,15.2,15.2,15.2,15.2,,10.3,12.7,12.7,15.2,15.2,21.5,23.6,27,21.5,12.1,12.4,12.7,16.5,16.5,17,24.8,17.8,19.2,19.2,21.5,21.5,50.5,50.5,28.3,28.3,28.3,28.3,28.3,27.1,17.2,15.2,12.7,10.3,10.3,12.1,12.7,15.2,16.5,16.5,16.6,16.6,16.6,16.6,20.1,20.1,20.1,20.1,,
Admiralty,5.7,5.7,5.7,4.8,4.8,,4.8,4.8,5.7,5.7,7.1,7.1,7.1,8.8,8.8,8.8,8.8,,5.7,7.1,7.1,7.1,4.8,,10.3,10.3,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,12.7,12.7,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,15.2,7.1,7.1,15.2,15.2,15.2,15.2,15.2,15.2,4.8,10.3,12.7,12.7,15.2,15.2,21.5,23.6,27,21.5,12.1,12.4,12.7,16.5,16.5,17,24.8,17.8,19.2,19.2,21.5,21.5,50.5,50.5,28.3,28.3,28.3,28.3,28.3,27.1,17.2,15.2,12.7,10.3,10.3,12.1,12.7,15.2,16.5,16.5,16.6,16.6,16.6,16.6,20.1,20.1,20.1,20.1,,
Tsim Sha Tsui,12.7,12.7,12.7,10.3,10.3,10.3,10.3,12.7,12.7,12.7,12.7,12.7,15.2,15.2,15.2,15.2,15.2,10.3,12.7,12.7,12.7,15.2,10.3,10.3,,4.8,4.8,5.7,5.7,7.1,7.1,8.6,8.6,10.7,10.7,10.7,10.7,10.7,5.7,5.7,4.8,5.7,5.7,7.1,7.1,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,8.8,10.7,12.7,12.7,8.8,10.7,10.7,10.7,,10.7,10.7,10.3,4.8,5.7,6,10.7,10.7,15.3,18,21.5,15.3,4.6,5.7,7.1,9.8,9.8,10.7,16.9,10.7,12.9,12.9,14.4,14.4,42.9,42.9,22.2,22.2,22.2,22.2,22.2,21.2,10.7,8.6,6,4.8,4.6,7.1,8.8,9.8,9.8,10.8,10.8,10.8,10.8,13.7,13.7,13.7,13.7,,
